Word,Log Rank,Log Frequency
the,0.0,3.702085721435825
a,0.3010299956639812,3.3630475945210936
and,0.47712125471966244,3.3469394626989906
to,0.6020599913279624,3.3394514413064407
of,0.6989700043360189,3.315550534421905
in,0.7781512503836436,3.228913405994688
was,0.8450980400142568,3.13956426617585
he,0.9030899869919435,3.0492180226701815
s,0.9542425094393249,3.009450895798694
for,1.0,2.9537596917332287
that,1.0413926851582251,2.8756399370041685
it,1.0791812460476249,2.859138297294531
with,1.1139433523068367,2.859138297294531
on,1.146128035678238,2.8543060418010806
his,1.1760912590556813,2.8494194137968996
said,1.2041199826559248,2.8260748027008264
her,1.2304489213782739,2.813580988568192
had,1.255272505103306,2.8115750058705933
is,1.2787536009528289,2.7937903846908188
at,1.3010299956639813,2.7788744720027396
i,1.3222192947339193,2.765668554759014
she,1.3424226808222062,2.7589118923979736
as,1.3617278360175928,2.6972293427597176
be,1.380211241711606,2.673941998634088
who,1.3979400086720377,2.6580113966571126
of the,1.414973347970818,2.655138434811382
by,1.4313637641589874,2.6464037262230695
in the,1.4471580313422192,2.6085260335771943
but,1.462397997898956,2.5943925503754266
after,1.4771212547196624,2.5921767573958667
been,1.4913616938342726,2.5728716022004803
have,1.505149978319906,2.5705429398818973
has,1.5185139398778875,2.550228353055094
from,1.5314789170422551,2.53655844257153
were,1.5440680443502757,2.484299839346786
an,1.5563025007672873,2.45484486000851
not,1.568201724066995,2.45178643552429
will,1.5797835966168101,2.45178643552429
they,1.591064607026499,2.437750562820388
him,1.6020599913279623,2.4149733479708178
mr,1.6127838567197355,2.4149733479708178
court,1.6232492903979006,2.4082399653118496
when,1.6334684555795864,2.376576957056512
yesterday,1.6434526764861874,2.374748346010104
last,1.6532125137753437,2.3654879848909
year,1.662757831681574,2.3443922736851106
years,1.6720978579357175,2.3364597338485296
their,1.6812412373755872,2.3344537511509307
two,1.6901960800285136,2.3324384599156054
which,1.6989700043360187,2.3324384599156054
one,1.7075701760979363,2.326335860928751
this,1.7160033436347992,2.3242824552976926
at the,1.724275869600789,2.3201462861110542
up,1.7323937598229686,2.3180633349627615
he was,1.7403626894942439,2.311753861055754
out,1.7481880270062005,2.307496037913213
to the,1.7558748556724915,2.307496037913213
told,1.7634279935629373,2.303196057420489
would,1.7708520116421442,2.294466226161593
on the,1.7781512503836436,2.2764618041732443
are,1.7853298350107671,2.2695129442179165
there,1.792391689498254,2.2671717284030137
bbc,1.7993405494535817,2.2528530309798933
about,1.806179973983887,2.2355284469075487
all,1.8129133566428555,2.2355284469075487
for the,1.8195439355418688,2.2355284469075487
t,1.8260748027008264,2.2278867046136734
you,1.8325089127062364,2.2121876044039577
night,1.8388490907372552,2.2068258760318495
we,1.845098040014257,2.2068258760318495
to be,1.8512583487190752,2.2041199826559246
in a,1.8573324964312685,2.2013971243204513
new,1.863322860120456,2.1986570869544226
police,1.8692317197309762,2.1931245983544616
care,1.8750612633917,2.187520720836463
old,1.8808135922807914,2.184691430817599
more,1.8864907251724818,2.173186268412274
being,1.8920946026904804,2.1702617153949575
london,1.8976270912904414,2.164352855784437
three,1.9030899869919435,2.164352855784437
had been,1.9084850188786497,2.1492191126553797
before,1.9138138523837167,2.143014800254095
smith,1.919078092376074,2.1367205671564067
them,1.9242792860618816,2.1367205671564067
time,1.9294189257142926,2.1367205671564067
nursing,1.9344984512435677,2.1335389083702174
home,1.9395192526186185,2.1271047983648077
or,1.9444826721501687,2.110589710299249
also,1.9493900066449128,2.100370545117563
found,1.954242509439325,2.0969100130080562
first,1.9590413923210936,2.093421685162235
other,1.9637878273455553,2.0863598306747484
back,1.968482948553935,2.0827853703164503
of a,1.9731278535996986,2.0791812460476247
into,1.9777236052888478,2.0718820073061255
just,1.9822712330395684,2.0718820073061255
my,1.9867717342662448,2.0681858617461617
with the,1.9912260756924949,2.0644579892269186
